Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical","Serious,Critical/1M pop",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Active case/1M pop,WHO Region
Sweden,Europe,10105596,81967,,5766,,,,,38,4,8111,571,863315,85429,0,Europe
Honduras,North America,9919704,45098,,1423,,6116,,37559,52,5,4546,143,109292,11018,3786,Americas
UAE,Asia,9902079,61845,,354,,55739,,5752,,0,6246,36,5262658,531470,581,EasternMediterranean
Hungary,Europe,9657785,4597,,600,,3463,,534,8,1,476,62,352546,36504,55,Europe
Tajikistan,Asia,9557468,7665,,62,,6443,,1160,,0,802,6,,,121,Europe
Belarus,Europe,9449001,68503,,580,,63756,,4167,,0,7250,61,1344303,142269,441,Europe
Israel,Asia,9197590,79559,,576,,53427,,25556,358,39,8650,63,1872453,203581,2779,Europe
Austria,Europe,9011577,21696,,719,,19596,,1381,25,3,2408,80,937275,104008,153,Europe
Papua New Guinea,Australia/Oceania,8963009,163,,3,,53,,107,,0,18,0.3,10808,1206,12,WesternPacific
Serbia,Europe,8733665,27332,,621,,14047,,12664,120,14,3129,71,723137,82799,1450,Europe
Switzerland,Europe,8660952,36108,,1985,,31600,,2523,23,3,4169,229,822764,94997,291,Europe
Togo,Africa,8296582,1012,,22,,697,,293,2,0,122,3,45767,5516,35,Africa
Sierra Leone,Africa,7992169,1877,,67,,1427,,383,,0,235,8,,,48,Africa
Hong Kong,Asia,7503041,3850,,46,,2458,,1346,39,5,513,6,692430,92287,179,WesternPacific
Laos,Asia,7285750,20,,,,19,,1,,0,3,,29374,4032,0,WesternPacific
Paraguay,South America,7141091,6375,,66,,4974,,1335,23,3,893,9,135277,18943,187,Americas
Bulgaria,Europe,6942854,13014,,435,,7374,,5205,47,7,1874,63,294087,42358,750,Europe
Libya,Africa,6880353,4879,,107,,652,,4120,,0,709,16,59699,8677,599,EasternMediterranean
Lebanon,Asia,6822220,5672,,70,,1974,,3628,46,7,831,10,345268,50609,532,EasternMediterranean
Nicaragua,North America,6632263,3902,,123,,2913,,866,,0,588,19,,,131,Americas
Kyrgyzstan,Asia,6534479,38659,,1447,,30099,,7113,24,4,5916,221,267718,40970,1089,Europe
El Salvador,North America,6489514,19126,,513,,9236,,9377,509,78,2947,79,251271,38720,1445,Americas
Singapore,Asia,5854932,54555,,27,,48031,,6497,,0,9318,5,1474372,251817,1110,WesternPacific
Denmark,Europe,5794279,14306,,617,,12787,,902,2,0,2469,106,1654512,285542,156,Europe
Finland,Europe,5541604,7532,,331,,6980,,221,,0,1359,60,389500,70287,40,Europe
Congo,Africa,5530506,3546,,58,,1589,,1899,,0,641,10,,,343,Africa
Slovakia,Europe,5459915,2480,,29,,1824,,627,2,0,454,5,272322,49877,115,Europe
Norway,Europe,5425471,9468,,256,,8857,,355,3,1,1745,47,472841,87152,65,Europe
Oman,Asia,5118446,80713,,492,,70910,,9311,177,35,15769,96,309212,60411,1819,EasternMediterranean
Palestine,Asia,5112340,13398,,92,,6907,,6399,,0,2621,18,200280,39176,1252,EasternMediterranean
Costa Rica,North America,5098730,21070,,200,,7038,,13832,103,20,4132,39,96110,18850,2713,Americas
Liberia,Africa,5068618,1224,,78,,705,,441,,0,241,15,,,87,Africa
New Zealand,Australia/Oceania,5002100,1569,,22,,1524,,23,,0,314,4,486943,97348,5,WesternPacific
Ireland,Europe,4943200,26372,,1768,,23364,,1240,5,1,5335,358,652917,132084,251,Europe
CAR,Africa,4837752,4620,,59,,1641,,2920,2,0,955,12,29589,6116,604,
Mauritania,Africa,4660728,6444,,157,,5291,,996,3,1,1383,34,57387,12313,214,Africa
Panama,North America,4321282,71418,,1574,,45658,,24186,161,37,16527,364,240995,55769,5597,Americas
Kuwait,Asia,4276658,70045,,469,,61610,,7966,127,30,16378,110,522200,122105,1863,EasternMediterranean
Croatia,Europe,4102577,5404,,155,,4688,,561,7,2,1317,38,125317,30546,137,Europe
